price_actual,total_renewable_energy
92.88,13357
90.6,12996
86.02,12659
81.19,12674
79.26,12452
79.15,11331
79.79,10501
84.12,10605
89.84,11232
90.69,12412
89.56,12587
85.41,12553
78.73,11414
71.82,9411
70.53,8837
59.37,9142
56.97,9944
54.04,10847
52.15,11784
53.32,12394
55.91,12307
68.61,11758
76.21,13430
78.3,15083
83.04,15576
80.02,16054
74.73,15653
67.08,16170
61.83,16809
61.84,16549
61.8,15763
70.91,14974
80.27,15727
78.82,15978
75.67,15934
65.81,17086
61.64,16353
55.47,15167
50.5,14485
48.08,15111
46.15,15287
42.91,15549
42.11,15736
42.31,15880
48.23,15224
53.17,13608
70.72,14098
73.93,15071
78.61,16004
77.13,16937
70.98,17437
67.09,17234
61.68,17357
61.59,16949
65,16314
73.58,15835
83.65,16061
83.57,15856
82.46,15553
78.29,15441
70.61,13907
62.33,12534
53.63,12232
51.21,12972
48.45,13629
47.03,14134
43.58,14073
46.46,13584
52.28,12631
65.64,12629
76.4,13438
79.97,15094
84.61,16145
83.52,17007
78.96,17525
72.31,17696
61.96,17221
60.84,16765
65.34,16280
72.57,14983
81.1,14628
83.19,15176
81.51,15082
77.05,15002
71.83,13679
62.47,12370
58.78,12018
55.81,11511
52.97,12020
47.79,13059
46.26,13479
45.91,13701
49.59,13099
52.15,13129
51.86,12883
61.01,13664
65.95,14866
66.22,15455
64.49,15478
61.74,15395
55.08,15241
52.73,15641
50.31,15318
54.34,14203
66.75,14646
71.35,17083
71.07,17611
70.56,17257
63.13,15919
59.27,15570
56.05,14304
47.86,15122
41.52,15871
42.01,16268
39.03,16424
40.91,16813
43.87,16767
41.6,16837
45.71,16975
51.62,17487
52.07,16458
51.07,17191
51.36,17211
51.25,16962
49.62,16907
47.64,17023
48.31,16499
51.88,15310
69.2,14253
76.85,15469
77.7,16383
75.83,16637
69.17,16246
62.28,13926
54.33,12572
49.56,12594
46.26,12940
45.91,12819
45.64,12841
47.58,12649
54.67,11154
68.6,11959
77.38,13714
81.32,14947
84.56,15411
84.81,16057
82.36,15423
77.45,15170
73.74,13989
72.68,13895
74.44,13476
77.9,13558
87.45,13749
89.51,15075
87.6,15644
83.04,14669
76.03,13827
69.71,11173
61.14,9706
53.05,9741
49.9,10131
48.46,10651
48.21,11370
48.75,11897
55.1,11060
69.94,11802
78.22,13609
82.25,14853
86.75,16080
83.62,16285
79.33,16444
72.54,16581
65.72,15947
62.27,16487
66.77,16525
70.83,15990
81.34,15207
82.01,16512
76.81,15993
69.68,14544
57.36,13053
51.88,13171
51.88,13342
48.32,13078
48.02,13096
48.28,12914
48.11,11112
53.35,10289
69.71,11197
79.78,12712
83.04,13987
88.92,14776
87.13,15522
84.35,15656
72.19,15142
70.66,15366
72.33,14749
76.22,14074
87.45,13824
87.97,14973
86.66,14856
79.06,14399
70.92,13285
61.2,12262
55.27,12045
51.07,12017
47.79,12628
46.8,13102
45.79,13762
46.15,14969
53.17,15363
57.26,16288
66.74,18298
72.99,19289
78.95,20681
73.35,22054
66.42,22659
54.68,22621
50.6,22852
49.53,23111
50.62,22312
52.6,21431
67.77,22178
69.53,22671
65.31,22275
55.79,22052
50.33,21409
43.36,21165
30.58,22734
16.79,23210
15.93,22406
15.76,21541
14.7,21035
16.82,21178
32.22,21812
41.28,20631
54.92,20915
62.44,21947
68.75,23031
66.39,22943
62.27,22730
55.18,23072
48.06,22610
47.37,22203
48.77,21536
55.14,21141
67.39,21633
69.55,22380
65.98,21525
60.29,21806
54.74,20895
45.04,19938
30.14,20346
24.91,20625
17.23,19020
16.1,18072
14.27,18461
13.85,18624
13.48,20099
16.37,19477
27.33,19039
33.73,20023
45.28,21654
43.23,22363
32.53,22970
29.67,23759
22.62,24134
18.95,22966
18.5,21813
23.93,21598
43.11,21631
52.36,22188
57.46,22361
55.32,21522
56.16,21195
41.49,20521
28.02,8034
21.3,7090
17.45,7141
18.24,7085
16.85,7063
16.59,7266
16.61,7402
16.98,6703
19.56,8170
23.13,10031
22.55,11235
23.56,12086
22.51,11442
23.44,11497
24.1,11352
21.12,10245
21.73,9609
25.93,9785
54.13,10447
68.53,10945
70.15,11135
67.61,11796
62.39,11243
56.55,9749
56.65,15343
49.27,14644
46.53,14292
42.25,14698
40.87,15346
41.88,15342
51.44,14814
66.5,15408
70.96,16833
73.16,16660
77.89,17260
76.34,17790
72.25,17666
66.45,18255
56.81,18210
55.43,17505
56.44,17187
62.63,17195
74.35,17717
84.34,19022
80.79,18330
72.41,18262
62.82,17811
55.41,16912
40.96,18225
38.45,17988
34.03,17353
30.66,17313
30.59,16838
30.28,16169
36.38,15668
47.92,15238
55.67,16059
66.52,17388
71.59,18416
69.44,18887
68.88,19014
63.37,18825
55.77,18194
55.61,17666
56.07,17086
66.85,16548
76,14360
85.73,15199
81.22,15371
70.96,14436
65.74,12996
57.31,11558
42.65,13429
36.99,13768
33.95,13713
32.94,13544
30.88,13312
33.12,12911
39.73,11440
52.29,10527
65.29,9937
69.68,11632
73.5,14039
69.06,14862
66.45,15106
57.02,15194
47.06,14246
45.08,13987
46.93,13867
50.78,13537
67.96,13454
77.22,13579
78.16,14229
72.5,15008
56.27,14142
44.68,12670
37.71,9700
36.21,9778
27.28,10352
29.39,10935
26.73,11095
33.93,11098
39.38,11472
52.38,11934
64.4,12232
70.13,12762
73.38,14500
70.58,16386
67.53,16680
60.79,16461
56.4,16600
57.3,16756
57.66,17195
62.7,17189
75.71,16632
82.79,15188
79.39,13314
72.83,12798
62.14,12465
60.7,12297
51.07,7772
44.28,6554
39.2,6023
37.08,5490
36.72,5137
38.61,5188
45.97,5785
61.27,6476
70.47,8103
72.57,10238
76.79,11725
70.96,12585
67.95,13354
63.06,13441
55.9,13637
56.06,13464
56.61,13423
66.81,13306
78.38,12715
81.86,11994
79.13,11634
76.25,10993
68.1,10785
66.22,9518
65.89,9582
63.59,8613
58.61,8060
53.68,7808
51.39,7728
52.55,7154
53.8,6710
58.41,6463
60.24,7053
64.11,9058
69.51,10467
69.14,11129
66.27,11646
66.67,12340
68.54,12638
67.45,12473
65.64,12808
66.66,12835
81.59,12656
90,12641
84.26,11755
79.77,10614
67.21,10457
65.14,9746
63.8,7780
57.09,7303
52.95,7765
50.79,8314
49.74,8575
50.68,8613
51.94,9236
54.25,9681
55.17,10113
56.87,11285
55.59,12879
51.89,12960
49.13,13305
47.63,14086
47.11,14577
41.4,14951
42.07,14987
