temp,pressure,humidity,wind_speed,rain_1h,rain_3h,snow_3h,clouds_all
272.4914625,1016.4,82.4,2,0,0,0,0
272.5127,1016.2,82.4,2,0,0,0,0
272.0991375,1016.8,82,2.4,0,0,0,0
272.0894688,1016.6,82,2.4,0,0,0,0
272.1459,1016.6,82,2.4,0,0,0,0
272.024,1017.4,82.6,2.4,0,0,0,0
272.0584,1017.4,82.6,2.4,0,0,0,0
272.3466,1017.6,82.2,2.4,0,0,0,0
273.9936,1018.8,81.2,1.4,0,0,0,0
274.1972,1018.8,81,1.4,0,0,0,0
275.2296,1018.8,76.2,1.4,0,0,0,0
282.2453375,1019.2,72.4,1.8,0,0,0,0
283.0014688,1019.2,69.2,1.8,0,0,0,0
282.7021,1019.2,71.4,1.8,0,0,0,0
284.3511938,1032.2,52.8,2,0,0,0,0
284.8976063,1033.2,51,1.8,0,0,0,0
281.2869,1033.2,66.4,2,0,0,0,0.8
283.2189938,1034.6,58.8,2,0,0,0,0.4
280.994,1035,68.2,2,0,0,0,1
279.6669563,1025.4,69.4,2,0,0,0,3.2
277.1936,1027.2,81,2,0,0,0,3.2
275.6182,1019.2,84.2,1.8,0,0,0,4.8
275.6856,1019.2,83.8,1.8,0,0,0,0.8
274.2422625,1019.6,84.2,1.4,0,0,0,4.2
274.2281313,1019.6,84.2,1.6,0,0,0,2
274.0337,1019.6,84.4,1.4,0,0,0,3.2
273.5926688,1019,84.8,1.6,0,0,0,0
273.4583313,1019,84.8,1.6,0,0,0,0
273.4648,1019.2,85,1.6,0,0,0,2
272.9289375,1019.8,84.4,1.4,0,0,0,1.2
272.8884688,1019.8,84.6,1.4,0,0,0,2.6
273.169,1019.8,84.2,1.4,0,0,0,2.4
275.0239313,1020.8,83.4,1.6,0,0,0,4.2
275.1974688,1021,83.2,1.6,0,0,0,4.4
276.246,1021,78.8,1.6,0,0,0,4
280.4818688,1021,75.2,1.6,0,0,0,4.4
282.9131375,1029.8,63.6,1.6,0,0,0,4.2
283.4394,1021,74,1.6,0,0,0,4.4
285.725925,1037.8,52,1.6,0,0,0,4
286.107475,1036.8,52,1.8,0,0,0,4
282.5882,1038,68.4,1.6,0,0,0,8.4
284.27,1036.6,63,1.6,0,0,0,6.8
282.051,1036.6,73.6,1.6,0,0,0,9.8
280.1599,1019.8,82.6,1.6,0,0,0,10.8
278.2275,1029,85,1.6,0,0,0,14.2
276.623,1020.6,85.4,1.6,0,0,0,15.6
276.6406,1020.4,85.6,1.6,0,0,0,16.4
276.0826,1020.6,85.8,1.6,0,0,0,14.4
275.5153,1025.6,85.6,1.6,0,0,0,9.6
275.0334,1020.2,84.4,1.8,0,0,0,5.6
274.7599313,1020,85.2,1.8,0,0,0,4.4
274.3268688,1019.8,84.2,1.6,0,0,0,5
274.3136,1019.8,84.2,1.6,0,0,0,5.2
274.3095313,1019.4,84,1.8,0,0,0,6.6
273.8546625,1019.2,83.6,1.6,0,0,0,4.4
274.0041,1019.4,83.2,1.6,0,0,0,4.4
274.7111375,1019.4,83,1.6,0,0,0,2.4
275.9068625,1019.8,84.4,1.8,0,0,0,2.4
276.8661,1019.8,80.6,1.8,0,0,0,1.2
283.7470625,1019.6,76.6,1.8,0,0,0,1.6
284.4185313,1019.6,74,1.8,0,0,0,0.8
284.1812,1019.6,76.2,1.8,0,0,0,1.2
285.1556,1019.6,72,1.8,0,0,0,0
287.198,1018,68,1.8,0,0,0,0
285.18035,1022.4,71.6,1.6,0,0,0,0
285.4039938,1034.4,63,1.4,0,0,0,0
283.1510063,1035,71,1.2,0,0,0,0
281.2858,1017.8,84.6,1.2,0,0,0,0
277.6991313,1018.4,85.8,1.2,0,0,0,0
277.0166688,1017,76.4,1.2,0,0,0,0
277.5143,1017.2,73.4,1.4,0,0,0,0
276.0756,1016.8,71.2,1,0,0,0,0
275.8,1016.8,71.8,1.2,0,0,0,0
276.033,1016.6,71.8,0.8,0,0,0,2
275.8262,1016,73,1.6,0,0,0,1.2
275.885,1016,73.6,1.8,0,0,0,2.6
275.8852,1015.8,74.2,1.6,0,0,0,8
275.7784688,1015.6,76.8,1.8,0,0,0,8
275.7295313,1015.6,77.6,1.8,0,0,0,12
276.0565,1015.6,78.6,1.8,0.06,0,0,11.2
276.9200688,1016,78,1.6,0.06,0,0,16.8
277.9711313,1016,78,1.4,0.06,0,0,17.6
278.7874,1016.2,76.2,1.4,0.06,0,0,17.2
279.0148688,1016.2,76.2,1.4,0.06,0,0,18.4
285.9189313,1015.4,72.4,1.4,0.06,0,0,18.4
286.0086,1015.2,72.4,1.2,0.06,0,0,18
286.8436,1021.4,68,1.2,0.06,0,0,19.2
287.5586,1014.2,67.4,1,0.06,0,0,20.2
287.1772,1014.2,69.8,0.8,0.06,0,0,16
284.7304688,1014,77.4,0.8,0.06,0,0,17
281.8689313,1014.2,86.4,1,0.06,0,0,14
280.1983,1014.4,85,1,0.06,0,0,12.4
278.5320688,1014.8,84.8,0.8,0.06,0,0,7.4
278.0380375,1018.2,84.6,0.8,0.06,0,0,6
278.09,1014.6,85,0.8,0.06,0,0,6.4
276.4686313,1017.6,83.4,1.2,0.06,0,0,4.4
276.1197625,1020.4,86,1,0.06,0,0,4.2
275.9745,1014.2,79.6,0.8,0,0,0,2.4
275.6207313,1014,79.6,1.2,0,0,0,11.4
275.1292,1013.4,81.6,1,0,0,0,12.8
275.7676688,1013.2,83.4,0.8,0,0,0,19.6
275.5977375,1013.2,83.4,0.8,0,0,0,21
275.814,1013.2,84,0.8,0,0,0,22
276.3418,1013.2,83.6,0.8,0,0,0,23.4
277.4924,1013.4,84.2,0.8,0,0,0,26.8
278.5134,1012.8,78.8,1.2,0,0,0,21.2
280.8910688,1013,76,1.2,0,0,0,26
282.1206688,1027.8,85,1.2,0.06,0,0,16
280.0048,1014.2,82,1.6,0,0,0,19.2
277.9974,1010,87.2,1.6,0,0,0,21.2
277.8712,1010,88,0.6,0,0,0,21.8
277.9524,1009.8,88.6,1.6,0,0,0,20.8
277.0863688,1009.4,87.4,1.6,0,0,0,26.2
276.4517313,1009,86.4,1.8,0,0,0,30
276.3952,1009,86,0.8,0,0,0,32.4
275.6827375,1008.4,85,1.4,0,0,0,22.8
275.7030688,1008.6,83.6,1.2,0,0,0,24.2
275.4535,1008.4,85.4,1.4,0,0,0,24.8
274.8759375,1008.6,86.2,1.2,0,0,0,45.6
274.9916688,1008.6,86.4,1.2,0,0,0,46.4
275.2579,1008.6,83.8,1.2,0,0,0,50.4
277.1484625,1008.8,88.4,1,0,0,0,51.6
277.7145375,1009,86,1,0,0,0,54.6
278.787,1009,82.8,1.4,0,0,0,51.2
280.7718,1009.2,78,1,0,0,0,54.6
282.3664,1009.2,78.2,1.2,0,0,0,39.6
282.9648,1008.4,77.2,1.2,0,0,0,23.2
283.8897375,1008,75.6,1,0,0,0,8.8
283.9874688,1007.8,75.6,0.8,0,0,0,20
281.7074,1008.2,81.8,0.8,0,0,0,26
280.4069375,1008.2,85.2,0.6,0,0,0,23.4
279.8674688,1008.6,88,0.8,0,0,0,28.4
278.7685,1009.2,85.4,0.8,0,0,0,40
277.1600625,1009.2,86.4,1,0,0,0,53
277.0807313,1011.8,87.8,1.2,0,0,0,54
277.2247688,1009.6,87.2,1,0,0,0,50.8
276.8300625,1009.8,86.6,1,0,0,0,52.4
276.6989375,1015.8,90,1,0,0,0,48.2
276.6041,1010,86.6,1,0,0,0,52.8
276.2418688,1010.4,85.4,1.2,0.06,0,0,30.4
276.3669313,1010.6,86.6,1.4,0.06,0,0,32
276.4587,1010.6,86.8,1.2,0.06,0,0,31.2
275.7166,1010.8,84.8,1.4,0,0,0,29.6
275.62,1010.8,82,1.4,0,0,0,29.6
275.6224,1011,83.6,1.4,0,0,0,27.2
275.8288625,1021.6,85,1.6,0.12,0,0,37.2
276.3869438,1026,87.2,2,0.12,0,0,43.4
279.9599063,1014.2,78.2,1.2,0.06,0,0,17.4
279.8889313,1021.4,82.4,1.6,0.12,0,0,28.8
282.8328688,1012.4,76.4,1.2,0,0,0,8
